"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2015-10-04","97.2","-1.3222","6.4094","Jeurys Familia",150029,544727,"field_out","hit_into_play",,,,,7,"Jayson Werth flies out to center fielder Juan Lagares.  ","R","R","R","NYM","WSH","X",8,"fly_ball",0,1,2015,"-1.11808333333333333333","0.45513333333333333333","-0.7070","2.0220","null",547180,"null",2,9,"Top","110.32","71.66",,,518595,,"151004_174434","3.6020","-141.2730","-6.5400","-14.3470","32.1450","-28.5060","3.6400","1.6700","345","95.2","35.2","96.4680","2018","6.1250",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.3752","0.126","0.248","0.00",1,0,0,3,61,"2","Sinker",1,0,0,1,0,1,0,1,"null","null"
"SI","2015-10-04","97.5","-1.2561","6.4222","Jeurys Familia",150029,544727,"null","called_strike",,,,,3,"null","R","R","R","NYM","WSH","S","null","null",0,0,2015,"-1.10834166666666666667","0.71170000000000000000","0.4420","3.4960","null",547180,"null",2,9,"Top","null","null",,,518595,,"151004_174405","6.3940","-141.7160","-3.7460","-14.3060","32.1000","-24.8350","3.6400","1.6700","null","null","null","96.5470","2093","6.0300",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.4704","null","null","null","null","null","null","null",61,"1","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","98.4","-1.2591","6.3362","Jeurys Familia",547180,544727,"double","hit_into_play_no_out",,,,,4,"Mets challenged (tag play), call on the field was upheld: Bryce Harper doubles (38) on a ground ball to left fielder Michael Conforto.  ","R","L","R","NYM","WSH","X",7,"ground_ball",0,0,2015,"-1.5230583333333333","0.52393333333333333333","-0.3530","2.4460","null","null","null",2,9,"Top","73.19","139.24",,,518595,,"151004_174011","5.4810","-143.0070","-5.6750","-20.4890","36.5990","-27.4650","3.1900","1.4600","20","72.2","-5.9","97.5640","1960","6.3590",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.1406","0.084","0.096","1.25",1,1,1,2,60,"1","Sinker",1,0,0,1,0,1,0,1,"Standard","Strategic"
"SI","2015-10-04","97.7","-1.2283","6.2723","Jeurys Familia",607208,544727,"strikeout","swinging_strike",,,,,13,"Trea Turner strikes out swinging.  ","R","R","R","NYM","WSH","S",2,"null",3,2,2015,"-1.2850833333333333","0.61853333333333333333","-0.0540","1.2730","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173928","5.5770","-141.8190","-8.7990","-16.9420","31.8970","-26.1500","3.5000","1.6100","null","null","null","97.0570","2099","6.2750",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.2253","null","null","0.00",1,0,0,"null",59,"7","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","98.2","-1.2233","6.2351","Jeurys Familia",607208,544727,"null","foul",,,,,7,"null","R","R","R","NYM","WSH","S","null","null",3,2,2015,"-0.99700833333333333333","0.80343333333333333333","-0.4060","1.5600","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173902","3.9870","-142.7480","-8.5090","-12.7090","36.2740","-23.5160","3.5000","1.6100","null","null","null","97.7420","2155","6.5380",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"53.9622","null","null","null","null","null","null","null",59,"6","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","97.4","-1.1272","6.2176","Jeurys Familia",607208,544727,"null","ball",,,,,13,"null","R","R","R","NYM","WSH","B","null","null",2,2,2015,"-1.2739500000000000","0.78766666666666666667","-0.6640","0.3300","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173831","3.7000","-141.3330","-11.3190","-16.4830","34.8180","-23.8810","3.5000","1.6100","null","null","null","96.6080","2026","6.4230",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.0774","null","null","null","null","null","null","null",59,"5","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","96.9","-1.1771","6.2757","Jeurys Familia",607208,544727,"null","called_strike",,,,,3,"null","R","R","R","NYM","WSH","S","null","null",2,1,2015,"-1.4646083333333333","0.92956666666666666667","0.5160","3.1950","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173808","7.0200","-140.8920","-4.5700","-18.8930","38.0010","-22.0790","3.5000","1.6100","null","null","null","95.1000","2102","5.9840",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.5161","null","null","null","null","null","null","null",59,"4","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","97.1","-1.0533","6.4343","Jeurys Familia",607208,544727,"null","ball",,,,,11,"null","R","R","R","NYM","WSH","B","null","null",1,1,2015,"-1.2669916666666667","0.74610000000000000000","-1.5310","3.0270","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173741","1.1620","-141.3680","-4.7920","-16.3660","35.3330","-24.4620","3.6500","1.6100","null","null","null","95.5840","2055","5.8310",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.6688","null","null","null","null","null","null","null",59,"3","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","96.9","-1.2875","6.2821","Jeurys Familia",607208,544727,"null","called_strike",,,,,2,"null","R","R","R","NYM","WSH","S","null","null",1,0,2015,"-1.20297500000000000000","0.78480000000000000000","-0.2580","3.1060","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173719","4.9010","-140.9910","-4.4720","-15.5070","32.3480","-23.8870","3.5700","1.6100","null","null","null","96.8540","2124","6.5210",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"53.9792","null","null","null","null","null","null","null",59,"2","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2015-10-04","97.0","-1.1205","6.3019","Jeurys Familia",607208,544727,"null","ball",,,,,14,"null","R","R","R","NYM","WSH","B","null","null",0,0,2015,"-1.2544666666666667","0.70453333333333333333","0.3490","-0.1330","null","null","null",1,9,"Top","null","null",,,518595,,"151004_173653","6.0680","-140.5980","-12.5280","-16.1920","31.4330","-25.0360","3.5500","1.6100","null","null","null","95.8280","2151","6.0850",416079,544727,518595,446263,502517,431151,514913,624424,501571,434158,"54.4154","null","null","null","null","null","null","null",59,"1","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
