"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2016-10-01","97.7","-1.6143","6.5485","Jeurys Familia",571437,544727,"field_out","hit_into_play",,,,,4,"Aaron Altherr lines out softly to left fielder Michael Conforto.  ","R","R","R","PHI","NYM","X",7,"line_drive",2,1,2016,"-1.3449250000000000","0.73320000000000000000","-0.7570","2.6630","null","null",517370,2,9,"Bot","99.49","107.66",,,518595,,"161001_160845","5.3840","-142.0660","-5.8150","-17.8930","31.6420","-24.4650","3.9800","1.8200","246","71.2","27.0","97.0540","2285","6.1510",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3482","0.839","0.779","0.00",1,0,0,4,74,"4","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","98.4","-1.6230","6.5262","Jeurys Familia",571437,544727,"null","ball",,,,,13,"null","R","R","R","PHI","NYM","B","null","null",1,1,2016,"-1.2489000000000000","0.60993333333333333333","-0.2700","1.1650","null","null",517370,2,9,"Bot","null","null",,,518595,,"161001_160822","6.5290","-142.8330","-9.4160","-16.5210","34.6510","-26.2210","3.9800","1.8200","null","null","null","97.4940","2276","6.3550",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.1446","null","null","null","null","null","null","null",74,"3","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","97.4","-1.6410","6.5783","Jeurys Familia",571437,544727,"null","foul",,,,,7,"null","R","R","R","PHI","NYM","S","null","null",1,0,2016,"-1.5522833333333333","0.61853333333333333333","-0.4750","2.1020","null","null",517370,2,9,"Bot","null","null",,,518595,,"161001_160751","6.5030","-141.5510","-6.9830","-20.4410","36.5890","-26.2680","3.9800","1.8200","null","null","null","96.0490","2344","6.1070",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3929","null","null","null","null","null","null","null",74,"2","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","97.8","-1.4936","6.6483","Jeurys Familia",571437,544727,"null","blocked_ball",,,,,14,"null","R","R","R","PHI","NYM","B","null","null",0,0,2016,"-1.8598416666666667","1.14600000000000000000","0.7540","0.7450","null","null",517370,2,9,"Bot","null","null",,,518595,,"161001_160721","10.2160","-141.5130","-11.8120","-24.9990","34.7390","-18.8190","4.0400","1.8200","null","null","null","95.9560","2293","5.9820",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.5174","null","null","null","null","null","null","null",74,"1","Sinker",3,5,3,5,5,3,3,5,"Strategic","Standard"
"SI","2016-10-01","92.7","-1.6484","6.6141","Jeurys Familia",517370,544727,"single","hit_into_play_no_out",,,,,7,"Jimmy Paredes singles on a line drive to left fielder Michael Conforto.  ","R","L","R","PHI","NYM","X",7,"line_drive",1,2,2016,"-0.82861666666666666667","0.69163333333333333333","-0.7540","2.1930","null","null","null",2,9,"Bot","80.20","109.70",,,518595,,"161001_160629","4.0770","-134.8650","-6.1420","-9.1750","31.5540","-25.8310","3.8100","1.7300","253","93.7","14.3","91.2900","1269","5.9170",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.5823","0.841","0.824","0.90",1,1,0,4,73,"5","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","98.4","-1.7843","6.4478","Jeurys Familia",517370,544727,"null","foul",,,,,4,"null","R","L","R","PHI","NYM","S","null","null",1,2,2016,"-0.98030833333333333333","1.16893333333333333333","-0.8190","3.0860","null","null","null",2,9,"Bot","null","null",,,518595,,"161001_160600","4.6920","-143.0530","-5.4450","-12.5250","36.1090","-18.2330","3.8100","1.7300","null","null","null","97.2400","2257","6.1230",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.3766","null","null","null","null","null","null","null",73,"4","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2016-10-01","97.3","-1.7292","6.5484","Jeurys Familia",517370,544727,"null","foul",,,,,12,"null","R","L","R","PHI","NYM","S","null","null",1,1,2016,"-0.87454166666666666667","1.5301333333333333","1.2200","3.0490","null","null","null",2,9,"Bot","null","null",,,518595,,"161001_160531","9.5700","-141.1470","-6.6990","-10.8540","30.3920","-13.2750","3.8100","1.7300","2","72.9","-51.5","96.9670","2272","6.3840",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.1153","null","null","null","null","null","null","null",73,"3","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2016-10-01","87.8","-1.8520","6.6283","Jeurys Familia",517370,544727,"null","foul",,,,,4,"null","R","L","R","PHI","NYM","S","null","null",1,0,2016,"0.06622500000000000000","0.12403333333333333333","-0.6820","2.4210","null","null","null",2,9,"Bot","null","null",,,518595,,"161001_160511","2.6140","-127.7570","-3.5590","2.3530","23.6900","-32.9790","3.8100","1.7300","null","null","null","86.7890","802","5.7020",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.7978","null","null","null","null","null","null","null",73,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SI","2016-10-01","97.3","-1.6127","6.5456","Jeurys Familia",517370,544727,"null","ball",,,,,13,"null","R","L","R","PHI","NYM","B","null","null",0,0,2016,"-1.5801166666666667","0.79053333333333333333","-0.4580","1.2280","null","null","null",2,9,"Bot","null","null",,,518595,,"161001_160452","6.6830","-141.1630","-9.3820","-20.7940","35.4360","-23.8780","3.9200","1.7300","null","null","null","96.3930","2313","6.4420",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.0569","null","null","null","null","null","null","null",73,"1","Sinker",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2016-10-01","98.2","-1.6599","6.4689","Jeurys Familia",519237,544727,"strikeout","foul_tip",,,,,7,"Cameron Rupp strikes out on a foul tip.  ","R","R","R","PHI","NYM","S",2,"null",1,2,2016,"-0.78269166666666666667","1.3624333333333333","-0.7510","2.0800","null","null","null",1,9,"Bot","null","null",,,518595,,"161001_160412","4.3230","-142.6320","-8.4910","-9.5000","38.2140","-15.6930","3.3800","1.5600","null","null","null","96.5060","2230","6.0720",449277,544727,518595,493472,608061,408314,452678,624424,501571,434158,"54.4279","null","null","0.00",1,0,0,"null",72,"4","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
