"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2019-09-29","98.4","-1.3530","6.2763","Noah Syndergaard",621020,592789,"strikeout","called_strike",,,,,9,"Dansby Swanson called out on strikes.  ","R","R","R","NYM","ATL","S",2,"null",1,2,2019,"-1.3386","0.8264","0.5191","1.9515","null","null",459964,2,7,"Top","null","null",,,621512,,"190929_211037","8.3530","-143.0294","-8.2929","-20.7105","34.2264","-18.8270","3.5518","1.6694","null","null","null","99.3570","2190","6.9660",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.5336","null","null","0.00",1,0,0,"null",54,"4","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2019-09-29","90.6","-1.3321","6.2626","Noah Syndergaard",621020,592789,"null","ball",,,,,14,"null","R","R","R","NYM","ATL","B","null","null",0,2,2019,"0.1692","-0.1463","2.3588","1.9399","null","null",459964,2,7,"Top","null","null",,,621512,,"190929_211011","8.8194","-131.5447","-4.4836","-0.0122","29.1994","-33.0941","3.4998","1.6694","null","null","null","90.0410","2203","6.1750",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.3245","null","null","null","null","null","null","null",54,"3","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","98.0","-1.1700","6.3270","Noah Syndergaard",621020,592789,"null","swinging_strike",,,,,13,"null","R","R","R","NYM","ATL","S","null","null",0,1,2019,"-1.1943","0.6205","-0.8896","1.8489","null","null",459964,2,7,"Top","null","null",,,621512,,"190929_210942","3.6608","-142.7279","-8.2592","-17.6454","31.3345","-21.7762","3.5779","1.6694","null","null","null","99.8280","2136","7.1500",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.3500","null","null","null","null","null","null","null",54,"2","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","98.3","-1.2845","6.2695","Noah Syndergaard",621020,592789,"null","foul",,,,,5,"null","R","R","R","NYM","ATL","S","null","null",0,0,2019,"-0.9222","1.0411","-0.1339","2.4269","null","null",459964,2,7,"Top","null","null",,,621512,,"190929_210913","5.2612","-142.9773","-7.3448","-13.8751","34.0774","-16.3959","3.5000","1.6700","186","75.6","25.3","98.2610","2213","6.3690",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.1309","null","null","null","null","null","null","null",54,"1","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2019-09-29","91.7","-1.3777","6.3076","Noah Syndergaard",465041,592789,"strikeout","swinging_strike",,,,,14,"Francisco Cervelli strikes out swinging.  ","R","R","R","NYM","ATL","S",2,"null",1,2,2019,"0.5703","0.0150","1.2639","1.8727","null","null",459964,1,7,"Top","null","null",,,621512,,"190929_210834","5.4362","-133.2880","-5.3309","5.5169","29.9720","-31.0299","3.3357","1.5994","null","null","null","91.2940","2277","6.2100",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.2891","null","null","0.00",1,0,0,"null",53,"4","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2019-09-29","98.8","-1.3731","6.2847","Noah Syndergaard",465041,592789,"null","called_strike",,,,,14,"null","R","R","R","NYM","ATL","S","null","null",1,1,2019,"-0.7421","1.1343","0.8453","2.4066","null","null",459964,1,7,"Top","null","null",,,621512,,"190929_210808","7.7959","-143.5273","-7.7737","-12.1170","33.4081","-14.8260","3.3097","1.5994","null","null","null","98.9850","2237","6.4980",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.0013","null","null","null","null","null","null","null",53,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2019-09-29","98.1","-1.4083","6.2159","Noah Syndergaard",465041,592789,"null","called_strike",,,,,6,"null","R","R","R","NYM","ATL","S","null","null",1,0,2019,"-0.7321","1.2432","0.7543","2.5169","null","null",459964,1,7,"Top","null","null",,,621512,,"190929_210742","7.6169","-142.6128","-7.4571","-11.9036","34.1190","-13.4737","3.3877","1.5994","null","null","null","98.5940","2252","6.7100",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.7893","null","null","null","null","null","null","null",53,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2019-09-29","98.9","-1.4296","6.3195","Noah Syndergaard",465041,592789,"null","ball",,,,,11,"null","R","R","R","NYM","ATL","B","null","null",0,0,2019,"-0.7196","1.1995","-0.1702","3.8410","null","null",459964,1,7,"Top","null","null",,,621512,,"190929_210720","5.1194","-143.8249","-4.0866","-11.2130","35.6791","-14.8125","3.3097","1.5994","null","null","null","98.7260","2230","6.3840",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.1151","null","null","null","null","null","null","null",53,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"CH","2019-09-29","91.9","-1.4132","6.2199","Noah Syndergaard",542364,592789,"strikeout","swinging_strike",,,,,4,"Rafael Ortega strikes out swinging.  ","R","L","R","NYM","ATL","S",2,"null",1,2,2019,"-1.3772","0.4781","-0.4377","2.1387","null","null",459964,0,7,"Top","null","null",,,621512,,"190929_210639","5.5117","-133.7293","-5.5580","-17.8452","29.2712","-25.3865","3.2238","1.6094","null","null","null","92.3460","1619","6.5890",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9101","null","null","0.00",1,0,0,"null",52,"5","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"CH","2019-09-29","92.0","-1.3958","6.2284","Noah Syndergaard",542364,592789,"null","foul",,,,,7,"null","R","L","R","NYM","ATL","S","null","null",1,2,2019,"-1.4859","0.5442","-0.6783","1.4900","null","null",459964,0,7,"Top","null","null",,,621512,,"190929_210550","5.1069","-133.7757","-7.3673","-19.0981","30.5762","-24.1348","3.3800","1.6100","null","null","null","92.2830","1572","6.6340",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.8652","null","null","null","null","null","null","null",52,"4","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
